Product Name,Purpose,RAM,SSD,Operating System,Price,Product Rating
"15,6'' Asus Vivobook 15 i5 1235U / 16ГБ / 512SSD / DOS / (X1504ZA-BQ1106)",For study,16.0,512.0,DOS,299 990 ₸,5.0
Lenovo LOQ 15IAX9 i5 12450HX / 16ГБ / 512SSD / RTX3050 6ГБ / 15.6 / DOS / (83GS005NRK),For game,16.0,512.0,DOS,459 990 ₸,
Ультрабук Acer Gadget ETBook E10 i5 12450H / 16ГБ / 512SSD / 14 / Win11 / (Z14H24031454),Both,16.0,512.0,Win11,279 990 ₸,
Asus TUF Gaming F17 i5 12500H/ 16ГБ / 512SSD / RTX3050 4ГБ / 17.3 / DOS / (FX707ZC4-HX095),For game,16.0,512.0,DOS,479 990 ₸,5.0
Apple MacBook Air Retina Space Gray M1 / 8ГБ / 256SSD / 13 / Mac OS Big Sur / (MGN63RU/A),For study,8.0,256.0,MacOS,439 990 ₸,4.7
Asus TUF Gaming F15 i5 12500H/ 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (FX507ZC4-HN143),For game,16.0,512.0,DOS,469 990 ₸,5.0
"Asus Vivobook 15 Ci7 12700H / 16ГБ / 512 SSD / 15,6 / DOS / (X1502ZA-BQ2273)",For study,16.0,512.0,DOS,349 990 ₸,5.0
Huawei MateBook D16 i5 12450H / 16ГБ / 512SSD / 16.1 / Win11 / (MitchellF-W5651),For study,16.0,512.0,Win11,359 990 ₸,4.9
Honor MagicBook X16 BRN-F56 i5 12450H / 16ГБ / 512SSD / 16 / Win11 / (5301AHGW),For study,16.0,512.0,Win11,399 990 ₸,
Lenovo IdeaPad Slim 3 15IAH8 i5 12450H / 16ГБ / 512SSD / 15.6 / Win 11/ (83ER00DMRK),For study,16.0,512.0,Win11,329 990 ₸,
Asus VivoBook 15 i3 1215U/ 8ГБ / 512SSD / 15.6 / Win11/ (X1504ZA-BQ946W),For study,8.0,512.0,Win11,249 890 ₸,5.0
Asus Vivobook 16X Ci5 1335U / 16ГБ / 512 SSD / 16 / DOS / (K3604VA-MB229),For study,16.0,512.0,DOS,309 990 ₸,
Apple MacBook Air Space Grey M2 / 8ГБ / 256SSD / 13.6 / Mac OS Monterey / (MLXW3RU/A),For study,8.0,256.0,MacOS,499 990 ₸,5.0
Asus TUF Gaming A15 Ryzen 7 7435HS / 16ГБ / 512SSD / RTX4060 8ГБ / 15.6 / DOS / (FA507NVR-LP040),For game,16.0,512.0,DOS,659 990 ₸,
Honor MagicBook X16 BRN-F58 i5 12450H / 8ГБ / 512SSD / 16 / Win11 / (5301AHGY),For study,8.0,512.0,Win11,359 990 ₸,
HP 15-fc0072ci Ryzen 3 7320U / 8GB / 512SSD / DOS / 15.6 / (A19WCEA),For study,,512.0,DOS,219 990 ₸,
Asus Vivobook 15 i7 1235U / 16ГБ / 512SSD / 15.6 / Win11 / (X1504ZA-BQ1695W),For study,16.0,512.0,Win11,369 990 ₸,
HP OMEN 16-wd0009ci i5 13420H / 16ГБ / 512SSD / RTX4050 6ГБ / 16.1 / DOS / (81C38EA),For game,16.0,512.0,DOS,479 990 ₸,
Asus VivoBook 15 i5 1235U/ 8ГБ / 512SSD / 15.6 / Win11 / (X1504ZA-BQ146W),For study,8.0,512.0,Win11,319 990 ₸,
Asus TUF Gaming A15 Ryzen 7 7435HS / 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (FA506NCR-HN044),For game,16.0,512.0,DOS,469 990 ₸,
Asus TUF Gaming F15 i7 13620H / 16ГБ / 512SSD/ RTX4050 6ГБ / 15.6 / DOS / (FX507VU-LP201),For game,16.0,512.0,DOS,539 990 ₸,
Asus VivoBook 15 i3 1215U/ 8ГБ / 512SSD / 15.6 / DOS / (X1504ZA-BQ1141),For study,8.0,512.0,DOS,209 990 ₸,4.8
HUAWEI MateBook D14 i5 12450H/ 8ГБ / 512SSD / 14 / Win11 / (MendelF-W5851D),For study,8.0,512.0,Win11,329 990 ₸,5.0
Asus Vivobook 16X Ryzen 5 7430U / 16ГБ / 512 SSD / 16 / DOS / (M3604YA-MB240),For study,16.0,512.0,DOS,309 990 ₸,5.0
Huawei MateBook D16 i7 13700H/ 16ГБ / 1000SSD / 16.1 / Win11 / (MitchellG-W7611),For study,16.0,1000.0,Win11,499 990 ₸,5.0
Huawei MateBook 14 / Ultra 5 125H / 16ГБ / 512SSD / Intel Arc Graphics / 14.2 / Win11 / (FlemingH-W5651T),For study,16.0,512.0,Win11,499 990 ₸,5.0
"Apple MacBook Air 13 Midnight 2024 M3 / 8ГБ / 256SSD / 13,6 / Mac OS Sonoma / (MRXV3RU/A)",For study,8.0,256.0,MacOS,719 990 ₸,5.0
Apple MacBook Pro 14 Space Gray M1 Pro / 16ГБ / 512SSD / 14.2 / Mac OS Monterey / (MKGP3RU/A),For study,16.0,512.0,MacOS,699 990 ₸,5.0
Asus TUF Gaming A15 Ryzen 5 7535HS / 16ГБ / 512SSD / RTX4050 6ГБ / 15.6 / DOS / (FA507NU-LP166),For game,16.0,512.0,DOS,549 990 ₸,5.0
HP VICTUS 15-fa0092ci i5 12450H / 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (A14WLEA),For game,16.0,512.0,DOS,399 990 ₸,5.0
Apple MacBook Air Starlight M2 / 8ГБ / 256SSD / 13.6 / Mac OS Monterey / (MLY13RU/A),For study,8.0,256.0,MacOS,499 990 ₸,5.0
Lenovo LOQ 15IAX9 i5 12450HX / 16ГБ / 512SSD / RTX4050 6ГБ / 15.6 / DOS / (83GS005PRK),For game,16.0,512.0,DOS,499 990 ₸,
Asus Vivobook 16X Ci5 1335U / 16GB / SSD512GB / Win11 / 16 / (K3604VA-MB262W),For study,,,Win11,359 990 ₸,
Gigabyte AORUS 15 BKF i7 13620H / 16ГБ / 1000SSD / RTX4060 8ГБ / 15.6 / DOS / (AORUS 15 BKF-H3KZ754SD),For game,16.0,1000.0,DOS,659 990 ₸,3.0
HP 15-fd0198ci Ci5 1334U / 16GB / SSD 512GB / DOS / 15.6 / (AE0K3EA),For study,,,DOS,299 990 ₸,
HP 15-fc0058ci Ryzen 5 7520U / 8GB / SSD512GB / DOS / 15.6 / (A19WBEA),For study,,,DOS,239 990 ₸,
